n_neighbors,metric,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
1,manhattan,0.7935714285714286,0.016409150010943067,0.7877324998658738,0.017315187373005938,0.7935714285714285,0.016409150010943015,0.7870893577820218,0.017410163114889715
3,manhattan,0.7766071428571428,0.02253752539699974,0.7699491849325099,0.02381683194765816,0.7766071428571428,0.022537525396999693,0.76890937591541,0.023032548370456457
5,manhattan,0.7625,0.01988487272439295,0.7546999855861588,0.02064141658250356,0.7625,0.01988487272439292,0.7528285650304474,0.020812505526066023
7,manhattan,0.7551785714285714,0.014821428571428577,0.7488286992621558,0.016679845018182485,0.7551785714285715,0.014821428571428623,0.7442288387977619,0.014792046205530443
9,manhattan,0.7467857142857142,0.015252968931473302,0.7401116114658692,0.015999991728034263,0.7467857142857142,0.015252968931473305,0.7353870606815103,0.01572982464528445
11,manhattan,0.7335714285714285,0.013190132366156699,0.7267774212940739,0.013505271862277894,0.7335714285714285,0.013190132366156732,0.7218208655936674,0.01328365385750887
13,manhattan,0.7305357142857143,0.015658382706384217,0.7242208289816822,0.017600830047909535,0.7305357142857143,0.015658382706384182,0.7183336374441927,0.01652751538159625
15,manhattan,0.7246428571428571,0.012184801506594286,0.717361327546517,0.012390759785045476,0.7246428571428571,0.012184801506594305,0.7118811361634176,0.011764501174544615
17,manhattan,0.7142857142857142,0.010473484499010836,0.7080604934349563,0.009500163215807692,0.7142857142857143,0.010473484499010869,0.7013802033563513,0.010026754234678541
19,manhattan,0.7085714285714284,0.010344820255685894,0.7017326266216685,0.012350544391874482,0.7085714285714285,0.010344820255685875,0.6949009159202694,0.010561142555650953
21,manhattan,0.7039285714285715,0.009774237273860018,0.697160454555337,0.010625691025307733,0.7039285714285716,0.009774237273859985,0.689890256339041,0.009844994271135069
25,manhattan,0.6919642857142858,0.010296930888098929,0.6840635648540535,0.012550243191285405,0.6919642857142858,0.010296930888098955,0.6773325822366388,0.01079591493968203
31,manhattan,0.6883928571428571,0.010986134582337145,0.6821271565644297,0.011558401174300563,0.6883928571428573,0.010986134582337157,0.673158043984768,0.01039943532043466
35,manhattan,0.6821428571428572,0.009209854970162605,0.6747629902505771,0.01033012379178489,0.6821428571428572,0.009209854970162594,0.6662955327827736,0.009439930501889852
40,manhattan,0.6707142857142857,0.012299410969801833,0.6630812854478483,0.012480245446738368,0.6707142857142857,0.012299410969801847,0.6541814956762086,0.013100808169571853
45,manhattan,0.6694642857142857,0.01180328776404338,0.6618924831597232,0.013531716012270018,0.6694642857142857,0.011803287764043376,0.6527935680459098,0.012964503584652159
50,manhattan,0.6653571428571429,0.010264362759428505,0.6578736177470398,0.010835971668282502,0.6653571428571429,0.010264362759428509,0.6486658708863586,0.010613274220134606
52,manhattan,0.6657142857142857,0.0108562029668362,0.6593307860565736,0.012033222306464673,0.6657142857142857,0.0108562029668362,0.6487207709021989,0.011054911787564363
55,manhattan,0.6637500000000001,0.011518895302050101,0.6570759858539648,0.013804005742171535,0.6637500000000001,0.01151889530205011,0.6463276634561832,0.012404192199793447
60,manhattan,0.6567857142857143,0.009202927661946487,0.6499073766968596,0.01355396480117107,0.6567857142857144,0.00920292766194654,0.6396872215274328,0.010106598806070372
70,manhattan,0.6458928571428572,0.012577565466385943,0.638739565242345,0.01616456800858887,0.6458928571428572,0.01257756546638595,0.6279870075334336,0.013658444616880872
80,manhattan,0.6373214285714286,0.010517538801876593,0.6305673321028913,0.012591388874588601,0.6373214285714286,0.010517538801876608,0.6185425845430885,0.010863585019578193
90,manhattan,0.6292857142857142,0.01054025325955265,0.6210251998327883,0.012287771849318273,0.6292857142857142,0.010540253259552636,0.6092946502039893,0.010982279372248261
100,manhattan,0.6241071428571429,0.009853842615229558,0.6163374013332966,0.009755020968321556,0.624107142857143,0.00985384261522953,0.6033095719211912,0.01051672384187379
105,manhattan,0.6241071428571429,0.010957070683316035,0.6166459085509215,0.013291483143394756,0.6241071428571427,0.010957070683316035,0.6031090737846128,0.011821551196662124
110,manhattan,0.6224999999999999,0.010449099170234124,0.6153307677757172,0.012080898038838477,0.6224999999999999,0.01044909917023412,0.6013641568456525,0.01084237334835186
120,manhattan,0.6221428571428571,0.012505101000008293,0.6146011941049451,0.01331035793236962,0.6221428571428571,0.012505101000008284,0.6014082816901134,0.013566926446002955
130,manhattan,0.6160714285714286,0.014308018302864385,0.6075784429422334,0.01611474132562972,0.6160714285714286,0.014308018302864382,0.5945049978760364,0.01558993736129479
140,manhattan,0.6121428571428572,0.012026755886059098,0.6046889665850379,0.01212247653657559,0.6121428571428572,0.012026755886059077,0.5898752967212637,0.012563197976106813
150,manhattan,0.609642857142857,0.011299494299683126,0.6021232781534784,0.012128615380482459,0.6096428571428572,0.011299494299683147,0.5873357150782975,0.012279043736682135
1,euclidean,0.7942857142857143,0.019785198549235047,0.7885294205166767,0.020675602394739766,0.7942857142857143,0.019785198549235047,0.7885193676670761,0.020525330210706478
3,euclidean,0.7658928571428572,0.016336114055949168,0.7584938977359196,0.017116804191958972,0.7658928571428572,0.016336114055949105,0.7580986966824509,0.01697402006591349
5,euclidean,0.7489285714285714,0.013102811662745824,0.7409930123164438,0.013812350836759734,0.7489285714285715,0.013102811662745798,0.7396302438611212,0.01386082400267832
7,euclidean,0.7348214285714285,0.011661958476611216,0.7277179620643787,0.012154069857539026,0.7348214285714285,0.011661958476611221,0.725100609208816,0.011664778450589202
9,euclidean,0.725,0.010412414097938017,0.7182949753797426,0.012087404179670861,0.725,0.010412414097938055,0.7141123510676095,0.01045982687636202
11,euclidean,0.7171428571428571,0.010012746977768688,0.7098153306349555,0.009285253191253607,0.7171428571428571,0.01001274697776871,0.7062484331946877,0.008442064741801562
13,euclidean,0.7051785714285714,0.011278309053312957,0.697919146492653,0.011052583171352567,0.7051785714285714,0.01127830905331294,0.6924203783104004,0.011418282339594878
15,euclidean,0.6985714285714286,0.008406144497099888,0.6921147153817089,0.007424849799575942,0.6985714285714286,0.00840614449709987,0.6848334672224314,0.008565425881820007
17,euclidean,0.6953571428571429,0.013199799008983088,0.6891448932147675,0.013033714362334244,0.6953571428571428,0.013199799008983088,0.6813661570504187,0.014166875638118123
19,euclidean,0.6855357142857142,0.01033402592587876,0.6792428521052242,0.009959131850021409,0.6855357142857142,0.010334025925878796,0.6713244134961255,0.011169127639511377
21,euclidean,0.6787500000000001,0.010052477103598276,0.6724852221600335,0.010660651561928209,0.6787500000000001,0.01005247710359824,0.6638970378709539,0.009808775826178772
25,euclidean,0.6678571428571429,0.0140152977645347,0.6608358032008412,0.016158005764105417,0.6678571428571429,0.014015297764534728,0.6528283492550042,0.015221676085050475
31,euclidean,0.6567857142857143,0.00980680729838999,0.6492831076747856,0.010702828287285223,0.6567857142857143,0.009806807298390003,0.6413807623709908,0.010921131405383346
35,euclidean,0.65,0.010654595635840217,0.6436677363410095,0.012667269788664082,0.6499999999999999,0.010654595635840246,0.6352741295224653,0.010750679039496015
40,euclidean,0.64375,0.00745949949078767,0.6371107992830518,0.00832237729009762,0.64375,0.007459499490787627,0.6281134443258083,0.007977347488441219
45,euclidean,0.6371428571428572,0.014124085666632298,0.6310119924188169,0.015649647390941764,0.6371428571428572,0.014124085666632301,0.6205760411240153,0.01504883841628746
50,euclidean,0.6316071428571428,0.01585267794283299,0.6247297311936137,0.017169005566959536,0.6316071428571428,0.015852677942832977,0.6142896250442287,0.017058216389696745
52,euclidean,0.6278571428571429,0.01362770287738493,0.6205306293330989,0.015216767848936202,0.6278571428571429,0.013627702877384924,0.6102582434905124,0.015228068718596818
55,euclidean,0.6267857142857143,0.012345990012459727,0.6206796287859542,0.01365436689132868,0.6267857142857143,0.012345990012459703,0.6092560754445163,0.013269526261394219
60,euclidean,0.6192857142857143,0.01162224292519498,0.6123579907818397,0.013056882876012877,0.6192857142857143,0.011622242925194995,0.601669568607955,0.012108089963296426
70,euclidean,0.6082142857142857,0.014467592214663635,0.6004465845936025,0.01739953362954709,0.6082142857142857,0.014467592214663655,0.5898872362134735,0.015576468174755153
80,euclidean,0.6010714285714285,0.013813628289866953,0.5937065849325337,0.017650930593393437,0.6010714285714285,0.013813628289866965,0.5824395931098574,0.014916018410466416
90,euclidean,0.5926785714285715,0.017229135562903262,0.5856647482870784,0.02006569906210895,0.5926785714285715,0.017229135562903265,0.5737247840460019,0.0176022034747812
100,euclidean,0.5873214285714285,0.013703539316392595,0.5794492971764156,0.01625666209809663,0.5873214285714285,0.013703539316392645,0.5674133419497619,0.014890686719336414
105,euclidean,0.5828571428571429,0.014794510840862852,0.574275773550354,0.015963515868980798,0.5828571428571429,0.014794510840862843,0.5624956733323947,0.015552596506916505
110,euclidean,0.5783928571428572,0.013492486571331157,0.5695657373582609,0.015493284566706705,0.5783928571428572,0.013492486571331154,0.5577486423201752,0.014173250227204465
120,euclidean,0.5751785714285714,0.015576711096102048,0.5653219355696165,0.018124747102030065,0.5751785714285714,0.015576711096102057,0.5527123076676322,0.015249513893112467
130,euclidean,0.5658928571428572,0.017303009352510376,0.5547057598723153,0.0209669411097737,0.5658928571428572,0.01730300935251036,0.5427476310844482,0.01777033274312061
140,euclidean,0.5630357142857143,0.018437878325416327,0.5522322496494513,0.022286763620679443,0.5630357142857143,0.01843787832541634,0.5387261007692488,0.019169590280448907
150,euclidean,0.5546428571428572,0.016486698410833993,0.5418587134724577,0.01952499515838585,0.5546428571428572,0.01648669841083399,0.5290287053414562,0.01717964090028242
1,chebyshev,0.7775000000000001,0.015344679327814878,0.7708563361152503,0.016577569189844283,0.7775000000000001,0.015344679327814869,0.7712814417872637,0.016609290323120387
3,chebyshev,0.7494642857142857,0.012398825240599959,0.7416021234260561,0.012021468520390181,0.7494642857142857,0.012398825240599947,0.7416029412711709,0.012621792020595907
5,chebyshev,0.7308928571428572,0.015670596735313437,0.7233006698326501,0.017235463930676233,0.7308928571428572,0.01567059673531345,0.7219066480501817,0.016369560138207905
7,chebyshev,0.7158928571428571,0.013397618201359061,0.7084379726326718,0.015466230179856849,0.7158928571428571,0.013397618201359072,0.7064013212423784,0.014092759578438618
9,chebyshev,0.7032142857142858,0.012469350178640067,0.6956958169882538,0.012910242203178404,0.7032142857142858,0.012469350178640086,0.6919977738528876,0.013213771820778904
11,chebyshev,0.6932142857142857,0.008136275535638933,0.6854837602805282,0.009130562850185766,0.6932142857142856,0.008136275535638973,0.6814887355256859,0.00950195052186042
13,chebyshev,0.6776785714285715,0.01237823344687384,0.6702867590580693,0.011655660738071233,0.6776785714285715,0.012378233446873806,0.6646637623515254,0.012566270304748632
15,chebyshev,0.6710714285714285,0.014325836514379698,0.6646225365779693,0.01354394552683927,0.6710714285714285,0.014325836514379686,0.6576410112874795,0.015171328394281348
17,chebyshev,0.6673214285714286,0.011819486245266369,0.6607209972552794,0.012054428889554936,0.6673214285714286,0.011819486245266379,0.6526318852843794,0.012675102310175112
19,chebyshev,0.6558928571428572,0.015005313684675501,0.6472718247732738,0.01487810434987338,0.6558928571428572,0.015005313684675534,0.6405693838247137,0.017035637103123728
21,chebyshev,0.6560714285714286,0.014019847447421793,0.6483949337224613,0.014112441411227158,0.6560714285714286,0.014019847447421754,0.6406076739355001,0.01574358112846339
25,chebyshev,0.6450000000000001,0.016993396076243294,0.6370029817661095,0.016941908509904794,0.645,0.016993396076243335,0.6291053620816132,0.018062042691936446
31,chebyshev,0.62625,0.011792476415070741,0.6192468890280229,0.013136866984863495,0.62625,0.011792476415070755,0.6095376640893331,0.013163362870145669
35,chebyshev,0.6185714285714285,0.012931333564451203,0.6110527012111269,0.014475005123283258,0.6185714285714285,0.012931333564451218,0.6027122449265465,0.013993633678050591
40,chebyshev,0.6121428571428572,0.01137263094863621,0.6045544675730471,0.012454301801300442,0.612142857142857,0.011372630948636159,0.5959064516222469,0.012116478817178892
45,chebyshev,0.6035714285714286,0.01216384740423314,0.5952650326550979,0.014953590418660389,0.6035714285714286,0.01216384740423315,0.5869307494361932,0.013066482221008372
50,chebyshev,0.5958928571428572,0.01126699396739097,0.5869527784784109,0.01391962490343416,0.5958928571428572,0.011266993967390967,0.5787975533367792,0.011929887704678736
52,chebyshev,0.5944642857142857,0.01169472452145208,0.5857548139324698,0.013747840149190607,0.5944642857142857,0.011694724521452104,0.577242022604512,0.01256284197802247
55,chebyshev,0.5914285714285714,0.00884965120954559,0.5828547405127521,0.010325650818791615,0.5914285714285714,0.008849651209545641,0.5743932675904068,0.009394084938263308
60,chebyshev,0.5826785714285714,0.008339496020596865,0.5735105191577212,0.011132217023198962,0.5826785714285714,0.008339496020596868,0.564943865555114,0.0092906301381292
70,chebyshev,0.5721428571428572,0.00882800506736306,0.5627621542745935,0.010517507762049998,0.5721428571428572,0.008828005067363066,0.5546496224282675,0.01013546413126138
80,chebyshev,0.5596428571428571,0.01112888317920206,0.5474295983412776,0.01180793695582801,0.5596428571428571,0.01112888317920208,0.5410365735889904,0.011711329006921196
90,chebyshev,0.5535714285714285,0.010133043542222223,0.5409203181597241,0.012935793654513257,0.5535714285714285,0.01013304354222222,0.5338118458937177,0.011388046139287868
100,chebyshev,0.5433928571428571,0.012112619915794012,0.5297545198691621,0.012137660052104305,0.5433928571428571,0.012112619915794022,0.5211573717878147,0.012108510090474115
105,chebyshev,0.5394642857142857,0.012149420495124316,0.5253431392435111,0.011060186521454358,0.5394642857142856,0.012149420495124305,0.5168301568751339,0.012053282407387008
110,chebyshev,0.5333928571428572,0.010103103685582596,0.5197029373847238,0.009548371114701353,0.5333928571428571,0.010103103685582562,0.5107121312832106,0.010205608017535029
120,chebyshev,0.5287499999999999,0.014318043775286499,0.5141865122850567,0.017578251878698974,0.5287499999999999,0.014318043775286478,0.505238352384745,0.015600618708657957
130,chebyshev,0.5207142857142857,0.012782521548695202,0.5057191883150548,0.01478818064543636,0.5207142857142857,0.012782521548695195,0.49676252965033535,0.013439762915365748
140,chebyshev,0.5185714285714286,0.012037356818823376,0.5050362698317927,0.012893183192110469,0.5185714285714286,0.012037356818823366,0.49512401603770473,0.012460576700985694
150,chebyshev,0.5117857142857142,0.011523047003501203,0.4981022669506888,0.012103192825197414,0.5117857142857142,0.011523047003501225,0.48778551416831134,0.0124508506387645
