k,model,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
1,naive_bayes,0.5707142857142857,0.0144013179668971,0.5323599491225373,0.0295237669748155,0.5707142857142857,0.014401317966897106,0.5280313069613748,0.02005257318694981
1,knn,0.5264285714285715,0.021276244298009242,0.5216017932372488,0.02150317388325326,0.5264285714285715,0.02127624429800927,0.519304431477807,0.021165735344842448
1,decision_tree,0.50625,0.014752421108802054,0.5070782018233005,0.01621001130177468,0.50625,0.014752421108802063,0.5026500797437026,0.015621979572543557
1,random_forest,0.5205357142857143,0.0133690264173177,0.5115411651700783,0.013349622283593454,0.5205357142857143,0.013369026417317688,0.5133734768476967,0.013124610707449046
1,gradient_boosting,0.5696428571428572,0.014441119013682661,0.5513198195235116,0.019766599290309137,0.5696428571428572,0.014441119013682672,0.544855079455443,0.018252775037867715
1,xgboost,0.5705357142857141,0.014556583824959094,0.552615483801064,0.016677662397406107,0.5705357142857141,0.014556583824959115,0.5463021265325128,0.016700907526864726
2,naive_bayes,0.5030357142857144,0.008749999999999999,0.37181199552726774,0.09002347513011369,0.5030357142857144,0.008750000000000006,0.3739106204898438,0.007279413459687108
2,knn,0.5255357142857143,0.012976873070731552,0.5205040568297855,0.012930217629416135,0.5255357142857143,0.012976873070731549,0.5183692470567299,0.012019184235603782
2,decision_tree,0.5044642857142858,0.014988303262673789,0.5052697603323442,0.01550728620241278,0.5044642857142858,0.014988303262673778,0.5005841334360446,0.015466329495200328
2,random_forest,0.5182142857142857,0.013190132366156713,0.5079823848816354,0.014642308804925442,0.5182142857142857,0.013190132366156666,0.5102664389958542,0.013795595360601603
2,gradient_boosting,0.5682142857142857,0.015232048651525784,0.5488077626972874,0.02188356982587255,0.5682142857142857,0.015232048651525795,0.5421553388182724,0.01930813319630927
2,xgboost,0.5666071428571428,0.014704790625742986,0.5486600826586046,0.016513631291476,0.5666071428571428,0.014704790625742979,0.5415296929440909,0.016646433167216538
3,naive_bayes,0.5080357142857143,0.009853842615229567,0.3559804068633906,0.05879948281280321,0.5080357142857143,0.009853842615229562,0.3783811333168929,0.008696099124621345
3,knn,0.6035714285714286,0.016170330603816806,0.595401173779777,0.016775093199903727,0.6035714285714286,0.016170330603816792,0.5959470221488398,0.01698238309420059
3,decision_tree,0.5498214285714285,0.014070930012922813,0.5510556654380331,0.011626204870091516,0.5498214285714286,0.014070930012922802,0.5492401324521977,0.012881449707515823
3,random_forest,0.5923214285714286,0.01552750193452025,0.5831787869595955,0.016077094096011085,0.5923214285714287,0.015527501934520262,0.585470198260358,0.01615015907366299
3,gradient_boosting,0.6110714285714287,0.01529472364668848,0.5973240039936004,0.015707806262178804,0.6110714285714287,0.015294723646688437,0.5947930725654986,0.017081005539808233
3,xgboost,0.6080357142857143,0.01198558871039274,0.5969792967401598,0.01278703923875703,0.6080357142857143,0.011985588710392738,0.5982830545435093,0.012628326835897945
5,naive_bayes,0.4228571428571429,0.010189530441205073,0.4113009096111879,0.046918948085723104,0.4228571428571429,0.010189530441205073,0.28360123915539426,0.010437059624387292
5,knn,0.6589285714285714,0.01615059864942145,0.6529471412862156,0.018033725990786884,0.6589285714285714,0.016150598649421446,0.6532179298435492,0.01786527649208994
5,decision_tree,0.6044642857142859,0.021402513918715622,0.6057005008625634,0.02243139572888856,0.6044642857142856,0.02140251391871565,0.6041291905120764,0.02214259443203743
5,random_forest,0.6475000000000001,0.01611502024668352,0.6413030981143879,0.018051625246572958,0.6475000000000001,0.016115020246683546,0.6429238128821264,0.017470063571416686
5,gradient_boosting,0.6519642857142858,0.018113340725688844,0.6438545524064841,0.018235072498004733,0.6519642857142858,0.01811334072568884,0.6412702501736592,0.018382726659020677
5,xgboost,0.6573214285714284,0.014971273513373705,0.6498542272019769,0.016943212877561863,0.6573214285714286,0.014971273513373656,0.6508052629956673,0.01628455999568012
7,naive_bayes,0.4628571428571429,0.01894541029982122,0.41607061477438767,0.05749955679630263,0.4628571428571429,0.018945410299821212,0.32958460902311515,0.031654206283677135
7,knn,0.6762500000000001,0.01234728136647323,0.6709200212527481,0.013901295369090773,0.67625,0.012347281366473239,0.671132956738975,0.01340718462888316
7,decision_tree,0.6223214285714286,0.020597732439097603,0.6241093756916718,0.02240389132620606,0.6223214285714286,0.020597732439097585,0.6221260287706178,0.021683683858931244
7,random_forest,0.6660714285714284,0.013146544513789965,0.6620490138218962,0.01601291260209561,0.6660714285714285,0.01314654451379,0.6627233465497918,0.01489512255793024
7,gradient_boosting,0.6683928571428572,0.015852677942832984,0.6645418846873832,0.01767924315267781,0.6683928571428572,0.015852677942832988,0.6626059503603179,0.017373125201848187
7,xgboost,0.6730357142857143,0.011107372528631422,0.6678476765351944,0.01226310078229192,0.6730357142857144,0.011107372528631452,0.6685468973569625,0.011838415005148963
10,naive_bayes,0.45,0.009974457174120675,0.4162731547285524,0.04152362629405476,0.45,0.00997445717412067,0.3317171141395637,0.019111322723292128
10,knn,0.7494642857142857,0.014331400162309495,0.7461714329524662,0.014986439804548184,0.7494642857142858,0.014331400162309499,0.7448253794726863,0.015057993124743062
10,decision_tree,0.69375,0.015715300291922727,0.6939604740624367,0.014848870662078488,0.69375,0.0157153002919227,0.6925577618724602,0.01475646804987263
10,random_forest,0.7639285714285715,0.011594773629105666,0.7615360432465275,0.012389460507212503,0.7639285714285715,0.011594773629105638,0.7608612132266473,0.012492260690792954
10,gradient_boosting,0.7017857142857142,0.013339178140702209,0.6983663219208425,0.013675535351499218,0.7017857142857142,0.013339178140702235,0.6972077096990422,0.014178717362372225
10,xgboost,0.7426785714285715,0.014116181552836893,0.7397341233108176,0.014104346198597574,0.7426785714285715,0.014116181552836912,0.7394860986225544,0.013908633692364142
15,naive_bayes,0.3966071428571428,0.015739630535300225,0.332574566064159,0.06008441084860679,0.3966071428571429,0.01573963053530025,0.32549311202776604,0.014800484382418724
15,knn,0.7566071428571428,0.00896599300759513,0.7524658711843903,0.010007633451845719,0.7566071428571428,0.00896599300759514,0.7519311485539615,0.00905318146036693
15,decision_tree,0.7210714285714286,0.014568627181693682,0.7210100047802432,0.01535364656986578,0.7210714285714286,0.014568627181693675,0.7200552135144045,0.014691355300069061
15,random_forest,0.816607142857143,0.007987953302266074,0.8139076481327233,0.008720504886567509,0.816607142857143,0.007987953302266074,0.8135029295608665,0.008503980257487788
15,gradient_boosting,0.7519642857142858,0.013349931208261194,0.7495647848741496,0.013642369499988602,0.7519642857142858,0.01334993120826121,0.7477750580929015,0.013992045756127535
15,xgboost,0.8030357142857142,0.01933277987127098,0.800873313751004,0.019246577337339824,0.8030357142857142,0.01933277987127099,0.8003828419074397,0.01921075087336947
20,naive_bayes,0.4325,0.012621855033623066,0.43101411190870176,0.01912524841362574,0.4325,0.012621855033623059,0.37693835692066735,0.011089593625993158
20,knn,0.7398214285714285,0.012853422080662955,0.7359586383006748,0.013855319941648816,0.7398214285714285,0.01285342208066296,0.7356460397312982,0.013572704858172451
20,decision_tree,0.7201785714285713,0.009107142857142826,0.7190475896411893,0.009827247743975179,0.7201785714285714,0.009107142857142862,0.7185508514080651,0.009177831521765946
20,random_forest,0.8169642857142858,0.011130315744462426,0.8148225953914038,0.011844931714647101,0.8169642857142858,0.011130315744462462,0.8140719503548721,0.011088589518588906
20,gradient_boosting,0.7617857142857144,0.013674421227911883,0.7590428059095139,0.013587522218919483,0.7617857142857142,0.0136744212279119,0.7581271633201516,0.014032776076941984
20,xgboost,0.8105357142857142,0.012638265913728932,0.8086403375647391,0.011857168562096392,0.8105357142857142,0.012638265913728922,0.8083051519138007,0.012364375337776541
30,naive_bayes,0.48464285714285715,0.011742344444838283,0.608886037759939,0.058095238150623736,0.48464285714285715,0.011742344444838283,0.394370043316984,0.012800841303363246
30,knn,0.7392857142857143,0.010978875820671004,0.7346273798184356,0.011404874217476433,0.7392857142857144,0.01097887582067104,0.733926148011301,0.01084291993965801
30,decision_tree,0.7346428571428573,0.01429017787410182,0.732857804089414,0.014549191821810635,0.7346428571428573,0.014290177874101797,0.7327291453699887,0.014423887352984216
30,random_forest,0.8232142857142858,0.011572751247156891,0.8208059764767958,0.0126414574105725,0.8232142857142858,0.011572751247156924,0.8202485292622692,0.012408048542548194
30,gradient_boosting,0.7758928571428572,0.017718209530863786,0.7739748712759937,0.017700084516392347,0.7758928571428572,0.01771820953086375,0.7719996494709855,0.018039976476150788
30,xgboost,0.8235714285714286,0.009442360047430213,0.8216362434989011,0.009909595995824074,0.8235714285714286,0.009442360047430222,0.8208380315585606,0.009691003751554383
40,naive_bayes,0.4887499999999999,0.017332470707210963,0.6352662483994191,0.019821086075613947,0.4887499999999999,0.01733247070721096,0.40936353188871905,0.019892644783220864
40,knn,0.7330357142857142,0.0179861412067793,0.7278964719082095,0.01857944798009832,0.7330357142857143,0.017986141206779285,0.7278716197966268,0.01865626850108972
40,decision_tree,0.7358928571428571,0.007963965400349217,0.734291997859357,0.008564136385035736,0.7358928571428571,0.007963965400349205,0.7341433034744707,0.008215406991764762
40,random_forest,0.8237499999999999,0.006964285714285723,0.8216573623517396,0.006762326021665018,0.8237500000000001,0.006964285714285696,0.8208131463569316,0.006937925191368701
40,gradient_boosting,0.7823214285714287,0.016798057771598447,0.7801938632823954,0.017836077143202463,0.7823214285714285,0.016798057771598488,0.7784281226130041,0.017608686411947648
40,xgboost,0.8232142857142858,0.011818137219838777,0.8211552074678847,0.012181393839310911,0.8232142857142858,0.011818137219838766,0.8206681191510677,0.011923060877520947
54,naive_bayes,0.45214285714285724,0.024585855399279596,0.4594321743189065,0.07677164243255236,0.4521428571428571,0.024585855399279582,0.3748390382104516,0.03250109518213167
54,knn,0.7333928571428572,0.018814514859218555,0.7279275255481834,0.019904968372049584,0.7333928571428572,0.018814514859218524,0.7279644197073972,0.019858914770716888
54,decision_tree,0.7355357142857142,0.012688627802493224,0.734071977320552,0.014171548080033899,0.7355357142857142,0.012688627802493212,0.733887032651142,0.013185511903122966
54,random_forest,0.8205357142857143,0.012222689256176854,0.8185087644676955,0.01248561278663256,0.8205357142857143,0.01222268925617688,0.8175393761542512,0.012173534632931662
54,gradient_boosting,0.7792857142857144,0.015775044875255554,0.7772062042449207,0.016091757497799418,0.7792857142857144,0.015775044875255557,0.774875106454158,0.015839433677494453
54,xgboost,0.8271428571428572,0.012289036095775186,0.8255614343942064,0.012582314977351823,0.8271428571428572,0.012289036095775209,0.8247079004237271,0.012233985394169271
