n_neighbors,metric,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
1,manhattan,0.7878571428571428,0.0638827760064854,0.8285433457397533,0.04588632298968296,0.9073611111111111,0.060934245323023564,0.42666666666666664,0.16110727964792762,0.8649943364177342,0.04169864684592547,0.6670138888888888,0.08923286851004436
3,manhattan,0.8144444444444444,0.05682983045575299,0.8369196878910576,0.04534757273774388,0.9381944444444444,0.04306563502089673,0.43999999999999995,0.16918103387266029,0.8838681888341613,0.035264184629609875,0.7553148148148148,0.1041469380494475
5,manhattan,0.801031746031746,0.05193660738532025,0.8182587845545989,0.04496169099466768,0.9490277777777777,0.0456860005707235,0.35333333333333333,0.1765093639316497,0.8776715440744441,0.03187880519495197,0.7750092592592592,0.09736802515032093
7,manhattan,0.796111111111111,0.04950682706380934,0.812360372562115,0.04137061043618861,0.951527777777778,0.05227261900393803,0.32666666666666666,0.17243356208503416,0.8751031032459604,0.030710361401420756,0.772449074074074,0.10270848608908581
9,manhattan,0.7861111111111111,0.03867001901176635,0.8039690605809554,0.04157117555083568,0.9515277777777778,0.046258340922889475,0.28666666666666674,0.1814754345175493,0.8699351305187296,0.02240200548487252,0.7916064814814816,0.10611434301603284
11,manhattan,0.7844444444444444,0.04050605807457377,0.798982738460275,0.033193432622958416,0.9558333333333333,0.04332710069138007,0.2666666666666667,0.14907119849998596,0.8694444583983489,0.024443125973698843,0.7940648148148147,0.10272648411392644
13,manhattan,0.7827777777777778,0.04284986710727482,0.7921365528971689,0.035115487275591786,0.9669444444444444,0.038738797663898206,0.2266666666666667,0.155492050529208,0.8700412650374618,0.025056862309069287,0.7908055555555555,0.10403282801039719
15,manhattan,0.7844444444444445,0.028414915227876487,0.7890430098234091,0.027579443698105176,0.9758333333333333,0.025032386429790707,0.2066666666666667,0.13148721948877345,0.8719935708322086,0.015331447712754923,0.8031481481481482,0.10517152363028714
17,manhattan,0.7826984126984128,0.02951868875202116,0.7866428242816828,0.028091011293939053,0.9779166666666667,0.029817151104691412,0.19333333333333333,0.13482498944104454,0.871266904792108,0.0166205872265611,0.8081388888888889,0.10031473490517057
19,manhattan,0.7843650793650794,0.0326364222062065,0.7839296036070051,0.02955110871195232,0.9868055555555555,0.020310570896049596,0.17333333333333334,0.13727506854649335,0.8732805664119947,0.01784785223536145,0.8084583333333333,0.10119628257583059
21,manhattan,0.7826984126984127,0.027572484010832034,0.7813571913132035,0.02577471830664784,0.9890277777777777,0.014809099013115107,0.16,0.12364824660660938,0.8726464144544929,0.014374329582332717,0.8078796296296294,0.09119112011329362
25,manhattan,0.7760317460317461,0.025529909245079203,0.7761654691099117,0.02711306452044455,0.9890277777777777,0.014809099013115107,0.13333333333333333,0.13333333333333336,0.869278073806561,0.012344627109860394,0.8144305555555557,0.08633796296296296
31,manhattan,0.771031746031746,0.027353333206220996,0.7713862797572196,0.029110147679638442,0.99125,0.01462032345827859,0.10666666666666666,0.1436043948569201,0.8670534946545118,0.01306113616900257,0.8067222222222222,0.08796152240535814
35,manhattan,0.770952380952381,0.025793528693239698,0.7688930187993525,0.02309151158563366,0.9955555555555555,0.008888888888888903,0.09333333333333334,0.11234866364235144,0.8673974718092365,0.013034223654054562,0.8002731481481481,0.09836568844576235
40,manhattan,0.7676190476190475,0.02146029397951191,0.7671824512650681,0.021492379946072063,0.9933333333333334,0.014229164972072989,0.08666666666666667,0.10770329614269007,0.8654070316202158,0.01057193133214394,0.8056157407407408,0.09156819451315601
45,manhattan,0.7692857142857144,0.024361459841798945,0.7675318572748515,0.022223085603913225,0.9955555555555555,0.008888888888888903,0.08666666666666667,0.10770329614269007,0.8665408184682886,0.012283011649638628,0.803837962962963,0.09346799710242443
50,manhattan,0.7676190476190476,0.02146029397951191,0.7651285797779076,0.01924393500198105,0.9977777777777778,0.006666666666666676,0.07333333333333333,0.0916515138991168,0.8659158813139396,0.010832640099981129,0.8061342592592593,0.09409463004948539
52,manhattan,0.7642857142857142,0.01856532256154089,0.7623849878934624,0.016511830434444787,0.9977777777777778,0.006666666666666676,0.06,0.07571877794400365,0.8642044149469893,0.00955507561666653,0.8098657407407407,0.09322205127800363
55,manhattan,0.7609523809523809,0.017823778354488486,0.7597353553374963,0.015350337987202325,0.9977777777777778,0.006666666666666676,0.04666666666666667,0.0669991708074726,0.862526036055448,0.009408839675871085,0.8018703703703703,0.09292969930192221
60,manhattan,0.7576190476190476,0.018001007782319816,0.7571332554061951,0.01492338587562159,0.9977777777777778,0.006666666666666676,0.03333333333333333,0.06146362971528592,0.8608642436312339,0.009720826081458498,0.8045046296296297,0.09037612888168663
70,manhattan,0.756031746031746,0.013488328147724991,0.7549597110308419,0.01129657260777004,1.0,0.0,0.02,0.04268749491621899,0.8603261417481601,0.007232793334881897,0.7957361111111111,0.08973458723514592
80,manhattan,0.756031746031746,0.013488328147724991,0.7549597110308419,0.01129657260777004,1.0,0.0,0.02,0.04268749491621899,0.8603261417481601,0.007232793334881897,0.8000972222222222,0.09073240336319616
90,manhattan,0.756031746031746,0.013488328147724991,0.7549597110308419,0.01129657260777004,1.0,0.0,0.02,0.04268749491621899,0.8603261417481601,0.007232793334881897,0.7929861111111112,0.09375266628581605
100,manhattan,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.8004074074074075,0.08773079692882545
105,manhattan,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.7992546296296297,0.08683025191901508
110,manhattan,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.8025277777777777,0.08593241165257716
120,manhattan,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.803212962962963,0.0836008058330758
130,manhattan,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.8055925925925926,0.0883260653893317
140,manhattan,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.8114074074074076,0.0874169486317915
150,manhattan,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.811675925925926,0.0894076917245165
1,euclidean,0.7961904761904761,0.052361468237713406,0.8408088103916977,0.04549426246506843,0.9029166666666667,0.05713872684036873,0.47333333333333333,0.1645195023900409,0.8690971984019426,0.033818412255472705,0.6881250000000001,0.08124611220518058
3,euclidean,0.7913492063492062,0.05818218188361207,0.8355220095829944,0.04699851693785037,0.9031944444444445,0.06218144124899704,0.4533333333333333,0.16546231527987812,0.8663389215872354,0.037815031125743304,0.7510185185185186,0.08820878905410913
5,euclidean,0.8063492063492064,0.05220388542835756,0.835640817849475,0.05961525817976963,0.9319444444444445,0.058310180590475165,0.42666666666666664,0.21333333333333332,0.8786383496541209,0.032528777178290925,0.7757453703703704,0.10102289864303071
7,euclidean,0.7896825396825397,0.0744848775025401,0.8213231697291077,0.05722331714558083,0.9252777777777779,0.07186288813677073,0.38,0.20666666666666667,0.8682668687646755,0.04793918464502153,0.7733842592592592,0.12131230889854057
9,euclidean,0.7896031746031746,0.07180101313719986,0.8152659655940054,0.055786463688649465,0.9361111111111111,0.0572653559113564,0.3466666666666667,0.21664102412362563,0.8700976949765552,0.04376704296415246,0.7673842592592592,0.11796647192655937
11,euclidean,0.7946825396825397,0.05665249255837155,0.8156237992759033,0.05022140095920766,0.945138888888889,0.05666683687338271,0.33999999999999997,0.2053722906766582,0.8737600931319834,0.033991975175450655,0.7924537037037036,0.0922403415377235
13,euclidean,0.793015873015873,0.05522783155877848,0.8090398595115577,0.042692326806279775,0.9518055555555556,0.046580815541843096,0.31333333333333335,0.1713994684290992,0.8736970221022812,0.03328857900494977,0.7911342592592594,0.09149616403110794
15,euclidean,0.7963492063492063,0.052988539669977394,0.8086940941657923,0.042421042208178286,0.9584722222222222,0.04277439560944241,0.3066666666666667,0.17178798302300166,0.8763256085637489,0.03139432683053751,0.7964351851851852,0.09579009804822101
17,euclidean,0.8029365079365081,0.05506935776615725,0.8137334366505172,0.043715230472935435,0.9605555555555554,0.044752405273658515,0.3266666666666667,0.18,0.8800834093100637,0.03270769067187735,0.797962962962963,0.09066727940969418
19,euclidean,0.7946031746031745,0.04516535505287382,0.8076334505093904,0.0407971906287,0.9583333333333333,0.047612764135701854,0.30000000000000004,0.17448336437736534,0.8752267109503075,0.026772328920874885,0.8068472222222223,0.08494728366598361
21,euclidean,0.7977777777777778,0.03711842908553348,0.8073791706090125,0.03941798834363254,0.9647222222222223,0.043497729471040254,0.29333333333333333,0.17435595774162693,0.8776776388754687,0.02141759468049004,0.8101759259259259,0.0882492266915683
25,euclidean,0.7994444444444444,0.031076369490993336,0.806724075077977,0.038763938096650026,0.9691666666666666,0.03865904299046049,0.2866666666666667,0.17397317800933185,0.8791413649200315,0.016814765358795513,0.7985462962962963,0.09461998981486504
31,euclidean,0.7977777777777778,0.04136557881996952,0.8028043487503966,0.04179819599765408,0.9736111111111111,0.03096319001334438,0.2666666666666667,0.18135294011647257,0.8789712395431526,0.023054273703579563,0.7923796296296296,0.09200030985291056
35,euclidean,0.7994444444444444,0.039003798485484666,0.8032912468841003,0.04158933985737555,0.9758333333333333,0.030379543555930307,0.2666666666666667,0.18378731669453627,0.880108431085968,0.021393303063906324,0.7935648148148149,0.09769449007816346
40,euclidean,0.796111111111111,0.04090413363155548,0.8006579611166824,0.043492553647730324,0.9758333333333333,0.030379543555930307,0.2533333333333333,0.19504985117770393,0.8784269412790338,0.022051693880938212,0.7900833333333334,0.09917375091409204
45,euclidean,0.7928571428571429,0.03850965070315376,0.7966822292902206,0.04284818794250452,0.9781944444444445,0.029213256440387667,0.23333333333333334,0.19148542155126763,0.8769829180720269,0.02050360572494453,0.7897453703703704,0.09546254366847604
50,euclidean,0.8011111111111111,0.040046269535422445,0.8046310207692882,0.04603489081041884,0.9780555555555555,0.035669305890583994,0.26666666666666666,0.2129162589689508,0.8813348485678585,0.02088744801191174,0.7897083333333333,0.09817540250959915
52,euclidean,0.7961111111111111,0.03735465660892054,0.7999795330880524,0.04387232328663419,0.9780555555555555,0.035669305890583994,0.24666666666666667,0.20231987873991356,0.8786149944810251,0.019511485622659686,0.7899814814814815,0.10203238041400996
55,euclidean,0.7927777777777777,0.041129875597510204,0.7949348160863645,0.04556719008550548,0.9824999999999999,0.027499999999999993,0.22000000000000003,0.20666666666666664,0.8775377471398395,0.021404004236580038,0.7887592592592593,0.10238507056645087
60,euclidean,0.7894444444444444,0.04175546094247455,0.7922538552095963,0.046505768006320405,0.9824999999999999,0.027499999999999993,0.20666666666666664,0.21176506899024786,0.8758399545422215,0.021587701570199094,0.7896898148148148,0.10118043862318164
70,euclidean,0.7894444444444444,0.04370566536714875,0.7909391195657239,0.046139897649206556,0.9847222222222222,0.024128322070254393,0.2,0.20655911179772887,0.8761044288138802,0.023310743055244772,0.7883194444444444,0.10406987282692631
80,euclidean,0.785952380952381,0.039518789124637285,0.7845658946060758,0.041474003646111826,0.9911111111111112,0.017777777777777757,0.16666666666666666,0.18915014612148146,0.8749095182942644,0.020498544386277656,0.786087962962963,0.10768191145385225
90,euclidean,0.7826190476190475,0.03959903913261983,0.7817600162738816,0.04129976850923295,0.9911111111111112,0.017777777777777757,0.15333333333333332,0.1863091814997616,0.8731844163723077,0.020717567928277558,0.7874305555555556,0.10522113050149356
100,euclidean,0.7809523809523811,0.03466718994895485,0.7790240326959169,0.03657381115339674,0.9933333333333334,0.014229164972072989,0.13999999999999999,0.16983652270475993,0.8724864755090644,0.017517102864711188,0.7853935185185186,0.10526877720165767
105,euclidean,0.7742857142857142,0.03594843876210908,0.7714030895818292,0.03409188217151434,0.9977777777777778,0.006666666666666676,0.1,0.15846485765339619,0.8695825479806063,0.0184832255996303,0.7856203703703704,0.105138634473003
110,euclidean,0.7676190476190476,0.02817583274759432,0.7643605546995378,0.023258736017219568,1.0,0.0,0.06666666666666668,0.10749676997731399,0.8662515262515262,0.014665332775005695,0.7862083333333333,0.10538949423298556
120,euclidean,0.7659523809523809,0.02449142568273209,0.7628995157384988,0.02007263283602478,1.0,0.0,0.06000000000000001,0.09165151389911681,0.8653604371426153,0.012730771728476335,0.7855555555555556,0.10720760470948217
130,euclidean,0.7642857142857142,0.021349058829961815,0.7614897413024087,0.017496323003940942,1.0,0.0,0.053333333333333344,0.07774602526460402,0.8644868203691732,0.011134963258755038,0.784611111111111,0.1094013028337798
140,euclidean,0.7545238095238095,0.010238095238095234,0.7537766830870278,0.008172738927604457,1.0,0.0,0.013333333333333332,0.039999999999999994,0.8595794129774712,0.00526563516857094,0.7887777777777778,0.10786671270225431
150,euclidean,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.7878333333333334,0.11076347004448847
1,chebyshev,0.7696825396825397,0.05832636822687197,0.829821416518745,0.03143774717847926,0.8744444444444444,0.08491826135237997,0.4533333333333333,0.12578641509408806,0.8491490385180478,0.042638511030885576,0.663888888888889,0.06020797289396147
3,chebyshev,0.7611904761904762,0.06582848944549567,0.8237939166144066,0.045341081158639614,0.8697222222222221,0.07267433275906501,0.4333333333333334,0.1527525231651947,0.8445663866801668,0.04626473335242059,0.6930185185185185,0.07567175387623229
5,chebyshev,0.7827777777777778,0.042196629670573894,0.8273539180202167,0.0328612007142866,0.9008333333333335,0.0585847755472864,0.42666666666666664,0.13063945294843615,0.8611417771872979,0.029142183849202197,0.728625,0.07087733458436933
7,chebyshev,0.7678571428571429,0.05028546626922964,0.8143533590220888,0.03153573933280048,0.89625,0.0579486322658394,0.38,0.11944315244779279,0.8523867475512548,0.03395408460540023,0.7304629629629629,0.10475823790413405
9,chebyshev,0.7728571428571429,0.027234598510150122,0.8138855348779852,0.029803303752851586,0.9073611111111111,0.03796547530078893,0.36666666666666664,0.1308094458023239,0.857113760233478,0.016816742411182972,0.7298101851851853,0.1031688515071109
11,chebyshev,0.7829365079365079,0.03689451982813234,0.8151664549375368,0.03243106981963504,0.9229166666666668,0.04951637246381553,0.36000000000000004,0.14666666666666667,0.8644286657798412,0.023155585639378785,0.7360787037037038,0.10639497704028743
13,chebyshev,0.7762698412698412,0.041235409934932035,0.8113575394129574,0.03455720079459057,0.9184722222222224,0.05229328055647326,0.3466666666666667,0.15434449203720302,0.8602367386790093,0.025966926808809316,0.736162037037037,0.10322364592318416
15,chebyshev,0.7861904761904761,0.03956681538636379,0.8135148149929785,0.03398682318973705,0.9316666666666666,0.05188127472091126,0.3466666666666667,0.15434449203720302,0.8672531479942058,0.025332992442682552,0.726712962962963,0.11491718293393076
17,chebyshev,0.7846031746031745,0.043445694201741124,0.8108182972064373,0.03623031288745305,0.9340277777777779,0.04910954780065873,0.33333333333333337,0.16055459438389727,0.8668402576005093,0.02645403463714891,0.7325925925925927,0.11218835817138369
19,chebyshev,0.7845238095238095,0.04521616009555487,0.8122358651317905,0.03874639378641045,0.9316666666666666,0.04792290619601032,0.33999999999999997,0.16983652270475996,0.8665858145071044,0.027041373349532577,0.733101851851852,0.11597367116711471
21,chebyshev,0.7961904761904761,0.046158555489724334,0.8188228162996631,0.041749838192218544,0.9405555555555557,0.043036734237476254,0.36,0.18666666666666665,0.8741795644659367,0.026377730627174748,0.7402731481481482,0.11804314105023421
25,chebyshev,0.8027777777777778,0.04549114687985394,0.8195058203114203,0.03860574820654481,0.9493055555555555,0.03433253549953981,0.36,0.16918103387266029,0.878813465345217,0.025874916732719626,0.7384398148148148,0.12293393031099192
31,chebyshev,0.8128571428571428,0.052512821023842235,0.8286342738539064,0.04544878058282436,0.9516666666666668,0.045950187737227144,0.3933333333333333,0.19652537297311565,0.8845390140449382,0.030606120584828936,0.7420787037037035,0.12453022914408776
35,chebyshev,0.8178571428571428,0.05596251174749429,0.8310577817185909,0.04765435744945856,0.9561111111111111,0.04820545023230014,0.4000000000000001,0.20439612955674522,0.8877730831924934,0.03288530077883355,0.7435972222222222,0.12879996075743955
40,chebyshev,0.8096031746031744,0.059199593214267036,0.8286603016217772,0.05170508124287824,0.9472222222222222,0.045355250693079614,0.3933333333333333,0.22,0.882505116834308,0.034200693664520915,0.7515138888888888,0.13025610201959903
45,chebyshev,0.8162698412698413,0.04998771580013021,0.8274858468323651,0.04760807096614519,0.9605555555555556,0.043634989924131,0.38,0.210923893594085,0.8875053912604995,0.028097715487060162,0.7507824074074075,0.13018338806317153
50,chebyshev,0.8146031746031746,0.05744760010104525,0.8297463509678009,0.050944348593883304,0.953888888888889,0.04661703710177372,0.3933333333333333,0.22,0.8859214278918441,0.03312332132557502,0.7601435185185185,0.12961589948781088
52,chebyshev,0.8112698412698413,0.057230752506863734,0.8281063630487431,0.051622982324046544,0.9516666666666668,0.05006477285958142,0.38666666666666666,0.22469732728470287,0.8837988639500567,0.03307257914533544,0.762912037037037,0.12709796085620959
55,chebyshev,0.8112698412698413,0.052681676439744106,0.8236261844981259,0.05283603476984627,0.9605555555555556,0.042488197344442,0.36,0.2351358945139786,0.8850143884435058,0.029188088301151233,0.7630555555555556,0.12875683022888476
60,chebyshev,0.8145238095238094,0.04905513118616249,0.825618269822403,0.05208552934493773,0.9626388888888888,0.04076075371248523,0.36666666666666664,0.2352303835250313,0.8870112774518984,0.026677407935373147,0.7602685185185185,0.12906885617010397
70,chebyshev,0.8095238095238095,0.05626306852473116,0.8217304476565431,0.051938697404868735,0.9604166666666666,0.043987450861959855,0.35333333333333333,0.232952069462082,0.8839929831757758,0.031582781714761136,0.7652824074074074,0.12531106434478248
80,chebyshev,0.8078571428571427,0.05577784327538592,0.8174275244731503,0.050529211726381744,0.9648611111111112,0.040919457549836113,0.33333333333333337,0.22509257354845508,0.8835800830088015,0.03127490093605371,0.7642129629629629,0.12516683824847274
90,chebyshev,0.8027777777777777,0.040994579587496145,0.8091255309207481,0.04344798285439629,0.9713888888888889,0.03845090665019777,0.29333333333333333,0.2048305532764962,0.8813757613841915,0.021914289986247427,0.7656388888888889,0.12370520381935848
100,chebyshev,0.8045238095238094,0.04065018624463308,0.8059923971003566,0.042872465886850834,0.9802777777777777,0.03192511492481997,0.2733333333333333,0.2031966753883756,0.8833675006582024,0.021327741665594285,0.7619814814814815,0.12374129086312247
105,chebyshev,0.7995238095238095,0.037718373996786375,0.8010192848556569,0.038075692107056205,0.9802777777777777,0.02688710967483612,0.2533333333333333,0.18571184369578825,0.8806645771974756,0.019362691014292634,0.7639305555555554,0.12219790802275289
110,chebyshev,0.8011904761904762,0.03806918752152129,0.8013764277127997,0.038081205705752436,0.9824999999999999,0.027499999999999993,0.2533333333333333,0.18571184369578825,0.8817734880885647,0.019608851057873147,0.7639259259259259,0.12027862030326758
120,chebyshev,0.7911904761904762,0.03779719722299304,0.7904362968780295,0.037192298631460445,0.9869444444444445,0.019955583395179766,0.19999999999999998,0.17638342073763938,0.8770647098701465,0.01954833382083364,0.7675648148148149,0.12161923401744643
130,chebyshev,0.7844444444444444,0.03208784239598589,0.7833709495295789,0.03127330229951296,0.9890277777777777,0.017834652945291976,0.16666666666666666,0.15563490039905004,0.8736773983097512,0.016153024222996387,0.770875,0.12134475009386658
140,chebyshev,0.7761111111111111,0.025945098730745828,0.7737841786856923,0.021069030217050158,0.9933333333333334,0.014229164972072989,0.12,0.10666666666666666,0.8697004922858156,0.013771177943039453,0.7709259259259259,0.122672263470459
150,chebyshev,0.7695238095238095,0.027782765992028252,0.7675232026988462,0.02071061417793545,0.9955555555555555,0.013333333333333319,0.08666666666666666,0.10349449797506681,0.866633927090809,0.014967051065218194,0.7743425925925925,0.12166096194134676
