feature,f_score,p_value
mean_MFCC_2nd_coef,118.11370579862863,3.0555562371387504e-25
tqwt_kurtosisValue_dec_27,112.83325124333665,2.851641646806124e-24
tqwt_kurtosisValue_dec_26,99.45575520615614,8.847591321993314e-22
std_9th_delta_delta,99.3917229570991,9.096474372017244e-22
std_8th_delta_delta,98.34080310390912,1.4347562096141019e-21
std_7th_delta_delta,93.06106408340088,1.4317895152326106e-20
std_6th_delta_delta,91.99273560047949,2.285782942633236e-20
tqwt_stdValue_dec_12,87.73063690071427,1.4890291026292015e-19
std_8th_delta,86.83761696681776,2.2086175569608313e-19
std_9th_delta,85.54144467644888,3.9179937618279406e-19
tqwt_minValue_dec_12,84.78031091210852,5.488905649600758e-19
tqwt_maxValue_dec_12,82.15903689173128,1.758368902676744e-18
std_6th_delta,80.98706863353813,2.9638836104268654e-18
tqwt_entropy_log_dec_12,77.35725446537676,1.5027334324294052e-17
tqwt_stdValue_dec_11,77.35016499643825,1.5075197474702536e-17
std_11th_delta_delta,77.18941916022891,1.6202473749367785e-17
std_7th_delta,76.04579605826443,2.707899095105086e-17
tqwt_entropy_shannon_dec_16,74.6810751084506,5.0044257454276524e-17
std_10th_delta_delta,73.4614238749735,8.674241906042463e-17
tqwt_entropy_shannon_dec_15,72.96457972452811,1.0856259227800518e-16
tqwt_minValue_dec_13,72.7118705594731,1.2169597505877681e-16
tqwt_stdValue_dec_13,72.04059086120486,1.6486214263946823e-16
f1,71.71208541100731,1.9129154343262217e-16
tqwt_stdValue_dec_15,70.46299630062279,3.3694183552595656e-16
tqwt_maxValue_dec_13,70.22880050899369,3.7472196945180206e-16
tqwt_maxValue_dec_11,68.38820355684533,8.651261680386475e-16
numPeriodsPulses,67.55813231780135,1.262764075013541e-15
numPulses,67.46166691125798,1.319545729689152e-15
std_delta_delta_log_energy,65.85634838162989,2.7464618351788566e-15
tqwt_entropy_shannon_dec_13,65.62482105522297,3.0532310375957294e-15
tqwt_stdValue_dec_16,64.84106687898542,4.370842790995811e-15
app_det_TKEO_mean_10_coef,64.35069992614275,5.472100957952963e-15
app_det_TKEO_mean_8_coef,64.21996771511513,5.810123039297181e-15
app_det_TKEO_mean_9_coef,64.20468896904552,5.85097169641141e-15
app_entropy_shannon_10_coef,64.09327875546431,6.157679520458182e-15
app_entropy_shannon_5_coef,64.07680490385802,6.204381150944434e-15
app_entropy_shannon_6_coef,64.07561148409661,6.2077781488440825e-15
app_entropy_shannon_9_coef,64.06412459326066,6.24057051228305e-15
app_TKEO_std_10_coef,64.05673655628279,6.261753439155641e-15
app_entropy_shannon_8_coef,64.05068238498218,6.279165710111819e-15
app_entropy_shannon_7_coef,64.03601612879389,6.321548759966234e-15
app_TKEO_std_7_coef,64.03246372380865,6.33185774914401e-15
std_11th_delta,64.02817985016007,6.344311889262856e-15
app_entropy_shannon_4_coef,63.98089404193413,6.483426404126448e-15
app_det_TKEO_mean_7_coef,63.96259986770719,6.538065589223815e-15
app_TKEO_std_8_coef,63.89841477158815,6.7334489167678144e-15
app_TKEO_std_9_coef,63.86009043242534,6.852894141191956e-15
app_det_TKEO_mean_6_coef,63.769809121151106,7.142748396888366e-15
app_entropy_shannon_3_coef,63.62099214647569,7.647647400587255e-15
app_det_TKEO_mean_5_coef,63.28243747579937,8.933832176827251e-15
app_entropy_shannon_2_coef,63.22621962207449,9.167519143069455e-15
app_entropy_shannon_1_coef,62.81591682561766,1.1069551357737005e-14
tqwt_minValue_dec_11,62.413522305056176,1.3319468792264311e-14
tqwt_entropy_shannon_dec_17,61.78027947587294,1.7826160698371973e-14
app_TKEO_std_6_coef,61.72404345603148,1.829384119820131e-14
app_TKEO_std_5_coef,61.53896007948695,1.9921820536135218e-14
tqwt_energy_dec_15,61.321833836455106,2.2018023160185354e-14
std_12th_delta_delta,61.10141077796111,2.4372736804479973e-14
tqwt_stdValue_dec_14,61.04343207895883,2.5033049480418347e-14
app_det_TKEO_mean_4_coef,60.928448108462625,2.63961910018921e-14
std_10th_delta,60.61677170371912,3.047777311449854e-14
tqwt_TKEO_std_dec_12,59.6122996513644,4.846803421422979e-14
app_LT_TKEO_std_7_coef,59.307079504067104,5.5814369463653584e-14
tqwt_entropy_log_dec_16,59.030964008527974,6.341921097443334e-14
app_LT_TKEO_std_8_coef,58.84359525058536,6.916413035681122e-14
tqwt_kurtosisValue_dec_28,58.696798354477146,7.40278387861359e-14
app_LT_TKEO_mean_8_coef,58.69082151129794,7.423298155948974e-14
app_LT_TKEO_mean_9_coef,58.665345903915224,7.511379877954642e-14
app_LT_TKEO_mean_10_coef,58.50398165606832,8.094190893177209e-14
app_LT_TKEO_std_10_coef,58.486099961930314,8.161507792143479e-14
app_LT_TKEO_std_9_coef,58.249491438791416,9.107008517382057e-14
tqwt_entropy_log_dec_13,58.1832633440823,9.390838267977354e-14
tqwt_entropy_shannon_dec_12,58.15521839338597,9.51368951936816e-14
tqwt_TKEO_mean_dec_16,58.152879453588724,9.524007873031499e-14
tqwt_entropy_shannon_dec_11,57.92961468139159,1.0562496789466562e-13
app_LT_TKEO_mean_7_coef,57.91740320408154,1.0622469143272226e-13
app_LT_entropy_shannon_5_coef,57.6859803254055,1.1825913205227414e-13
app_LT_entropy_shannon_4_coef,57.64857926770365,1.2032868773014132e-13
tqwt_stdValue_dec_7,57.63760909942369,1.2094258071317487e-13
app_LT_entropy_shannon_6_coef,57.39593517482119,1.352938109258557e-13
tqwt_entropy_shannon_dec_14,57.35402917939286,1.379508508844781e-13
app_LT_TKEO_mean_6_coef,57.23023145641579,1.461101614169328e-13
app_LT_TKEO_std_5_coef,56.96788883359178,1.650379138023102e-13
app_LT_entropy_shannon_7_coef,56.93895500015371,1.6727073895566226e-13
app_LT_entropy_shannon_3_coef,56.56163901410442,1.9932252506410834e-13
app_LT_entropy_shannon_8_coef,56.463839830311564,2.08592737030494e-13
app_LT_TKEO_std_6_coef,56.45715133071336,2.0924231835636835e-13
app_LT_entropy_shannon_9_coef,56.436521411375594,2.112586979174891e-13
app_LT_entropy_shannon_10_coef,56.41677536882659,2.1320695594337645e-13
app_TKEO_std_4_coef,56.41428360491777,2.1345408594481737e-13
tqwt_TKEO_mean_dec_15,55.96094606908726,2.635566610039466e-13
tqwt_minValue_dec_14,55.90858622808741,2.7005672569593773e-13
app_LT_TKEO_mean_5_coef,55.79648067896252,2.845200897435009e-13
f2,55.555358892084634,3.183188287073303e-13
app_LT_entropy_shannon_2_coef,55.39686153178428,3.427035300785557e-13
app_LT_TKEO_std_4_coef,55.26253355354835,3.648327324339941e-13
tqwt_maxValue_dec_14,55.13103958330306,3.878842364051331e-13
tqwt_entropy_log_dec_27,54.870254869847805,4.380179163679706e-13
app_entropy_log_6_coef,54.79331348228573,4.5401652725335346e-13
tqwt_TKEO_std_dec_11,54.66477764646509,4.820628402726347e-13
app_LT_entropy_shannon_1_coef,54.64756238286219,4.859489839276492e-13
app_entropy_log_9_coef,54.642451483889914,4.871087527435133e-13
app_entropy_log_8_coef,54.63197858207251,4.894939594471471e-13
app_entropy_log_10_coef,54.592834756391596,4.985132627855294e-13
app_entropy_log_7_coef,54.572413254124235,5.032847078277495e-13
RPDE,53.948645100265416,6.733677939421396e-13
tqwt_entropy_log_dec_11,53.23957753022225,9.379026814045065e-13
tqwt_TKEO_std_dec_14,53.08242525123642,1.009432807028672e-12
std_5th_delta_delta,53.053957831673124,1.0229643684131093e-12
app_det_TKEO_mean_3_coef,52.90945418337718,1.0945126911723417e-12
tqwt_entropy_log_dec_15,52.829092419960304,1.1364547175271128e-12
tqwt_TKEO_std_dec_15,52.350980217971085,1.4215620995892502e-12
VFER_entropy,52.350449853971284,1.4219152832649665e-12
app_LT_entropy_log_9_coef,51.634982196787966,1.9884315392111446e-12
app_LT_entropy_log_8_coef,51.633419376191206,1.9898895723259083e-12
app_LT_entropy_log_10_coef,51.63124767941512,1.991917438647804e-12
app_LT_TKEO_std_3_coef,51.597383560443724,2.023808528126633e-12
std_4th_delta_delta,51.531501009956386,2.0873289083367438e-12
app_entropy_log_5_coef,51.27985007478979,2.3489404756553187e-12
tqwt_entropy_log_dec_26,51.27031021218425,2.3594811394682567e-12
DFA,51.151227102544105,2.4951233031441723e-12
std_4th_delta,50.73716216395331,3.030700125779567e-12
app_LT_TKEO_mean_4_coef,50.70390262764016,3.0784301610248243e-12
tqwt_entropy_log_dec_35,50.36039426204907,3.6177984286674184e-12
tqwt_stdValue_dec_8,50.212838572673455,3.8777216759609136e-12
std_5th_delta,49.54698166120068,5.304641159683429e-12
tqwt_energy_dec_16,49.27684964080279,6.024366823390038e-12
app_TKEO_std_3_coef,49.135818530850464,6.4382910163424626e-12
tqwt_entropy_log_dec_34,48.70098613851274,7.903136108084084e-12
tqwt_entropy_log_dec_7,48.36753971526625,9.24955133354563e-12
tqwt_kurtosisValue_dec_36,48.32995305837172,9.415094936248822e-12
std_delta_log_energy,47.850528852019785,1.1807013841783545e-11
std_12th_delta,47.47319108186861,1.4111878436429631e-11
tqwt_energy_dec_13,46.82970877731372,1.9133053313193816e-11
VFER_mean,46.825809072624466,1.916840417849718e-11
tqwt_energy_dec_14,46.12321273938074,2.6737533692641467e-11
app_LT_entropy_log_7_coef,45.98952139553932,2.848698115906553e-11
tqwt_energy_dec_12,45.9578483972187,2.8918016201656827e-11
std_MFCC_8th_coef,45.51500808879618,3.567799541581235e-11
app_entropy_log_4_coef,45.22628838617818,4.091893202993373e-11
app_LT_TKEO_std_2_coef,44.92760319546702,4.715618281984306e-11
tqwt_entropy_log_dec_17,44.83121633575058,4.936619583087411e-11
tqwt_entropy_log_dec_14,44.4677918009697,5.867630867838231e-11
app_TKEO_std_2_coef,44.351953669277606,6.199981073652166e-11
meanPeriodPulses,44.16979661374551,6.761266729179757e-11
app_LT_entropy_log_6_coef,44.03706092860291,7.202162288262717e-11
std_MFCC_6th_coef,43.903032000948436,7.676663049299898e-11
tqwt_entropy_log_dec_8,43.612593373843985,8.815448905450851e-11
minIntensity,43.18477303381578,1.0809252838420877e-10
tqwt_entropy_log_dec_28,42.966291503956384,1.199629662318256e-10
tqwt_TKEO_std_dec_13,42.812834397432084,1.2907526368224667e-10
tqwt_energy_dec_11,42.78660402572385,1.3070098715768555e-10
tqwt_maxValue_dec_15,42.28502736968057,1.6606541909665944e-10
app_LT_TKEO_mean_3_coef,42.02927938268025,1.876501860271645e-10
tqwt_minValue_dec_15,41.610285132544455,2.2927372120794222e-10
tqwt_TKEO_std_dec_16,41.33374851193378,2.6170935043269375e-10
tqwt_stdValue_dec_10,40.8411531443703,3.313322569373606e-10
tqwt_stdValue_dec_9,40.5884671378552,3.739861336478164e-10
tqwt_entropy_log_dec_6,40.55509359833115,3.800175485413943e-10
tqwt_TKEO_mean_dec_11,39.76629806777842,5.54840475730373e-10
app_det_TKEO_mean_2_coef,39.63225929505002,5.917327868418029e-10
app_entropy_log_3_coef,38.47775463554572,1.0310069084434357e-09
meanIntensity,38.11546198131963,1.2275966719897706e-09
tqwt_stdValue_dec_6,37.92738250363679,1.3440851042024408e-09
tqwt_kurtosisValue_dec_35,37.22202937444283,1.8889660376121596e-09
std_3rd_delta_delta,36.926907325661595,2.1783675942770184e-09
tqwt_minValue_dec_10,36.48173778167877,2.701406651055801e-09
tqwt_entropy_log_dec_9,36.134139408483975,3.1961654269357978e-09
meanHarmToNoiseHarmonicity,35.97903275292561,3.4453987375398125e-09
tqwt_maxValue_dec_10,35.96486308744595,3.4691185744476626e-09
std_MFCC_7th_coef,35.93156333901345,3.5255097740556018e-09
app_LT_TKEO_std_1_coef,35.536881557733196,4.268366781211263e-09
tqwt_maxValue_dec_16,34.62470206041232,6.6445715798933114e-09
app_entropy_log_2_coef,34.598559522076776,6.729478415576295e-09
tqwt_TKEO_mean_dec_14,34.52012192465871,6.990830414214389e-09
std_3rd_delta,34.224741933633986,8.069928836436491e-09
GNE_SNR_SEO,34.032998931612255,8.858508230231429e-09
tqwt_maxValue_dec_7,33.58373567964984,1.102310022815842e-08
tqwt_TKEO_mean_dec_12,33.54126364187123,1.1253421416676856e-08
tqwt_minValue_dec_7,33.456469920336566,1.172781558799586e-08
tqwt_minValue_dec_16,33.31949155158286,1.2536995976759858e-08
tqwt_kurtosisValue_dec_20,33.31293360332584,1.2577113721710128e-08
tqwt_entropy_shannon_dec_9,33.07114206912987,1.4149894462210162e-08
app_entropy_log_1_coef,33.06429611803994,1.4197193104921429e-08
tqwt_entropy_log_dec_10,33.0134036188817,1.4553825988787826e-08
tqwt_entropy_log_dec_18,32.90228728669925,1.5364083884392084e-08
mean_MFCC_3rd_coef,32.83180767120521,1.5901362693710363e-08
tqwt_entropy_shannon_dec_10,32.437527258030876,1.9274800287345033e-08
app_LT_entropy_log_5_coef,31.916144636966692,2.486581720682702e-08
tqwt_maxValue_dec_8,31.913985402741716,2.4892075834181e-08
tqwt_entropy_shannon_dec_7,31.704632194875717,2.7575009019956086e-08
tqwt_entropy_shannon_dec_8,31.413889445650476,3.178999290623295e-08
tqwt_minValue_dec_8,31.216988899993027,3.500672015789246e-08
locPctJitter,31.190623020639926,3.546160148357583e-08
std_Log_energy,30.884055734674845,4.120778904110285e-08
maxIntensity,30.83241261339216,4.226404632886214e-08
std_MFCC_11th_coef,30.353305319968534,5.3457956520723246e-08
tqwt_stdValue_dec_17,30.295351593173724,5.500013970867486e-08
app_LT_TKEO_mean_2_coef,30.16246774622092,5.870723266026634e-08
tqwt_stdValue_dec_34,29.302824619503575,8.957358252358048e-08
tqwt_meanValue_dec_36,29.187439380319894,9.480679973127992e-08
tqwt_entropy_shannon_dec_35,29.176339285210556,9.532616719127718e-08
tqwt_entropy_log_dec_5,29.136540113608188,9.721197452262855e-08
tqwt_entropy_shannon_dec_34,28.808194055500802,1.1427257988071789e-07
tqwt_kurtosisValue_dec_34,28.73259345857794,1.1860937649227042e-07
tqwt_maxValue_dec_9,28.550196775749814,1.2976615804143893e-07
locAbsJitter,28.295280524496754,1.471493603714275e-07
tqwt_minValue_dec_9,27.865110909828267,1.8195937926071925e-07
tqwt_TKEO_mean_dec_9,27.71645367749357,1.9582451783377544e-07
std_MFCC_10th_coef,27.58121790644487,2.0935888696469313e-07
tqwt_kurtosisValue_dec_18,27.53231667195238,2.144811922187676e-07
tqwt_TKEO_std_dec_10,27.455423861717648,2.227916494485786e-07
ppq5Jitter,27.324437597567773,2.3770099458379702e-07
tqwt_energy_dec_26,27.082421141601557,2.6793886720871635e-07
tqwt_kurtosisValue_dec_25,27.07016518889667,2.695691609886577e-07
std_MFCC_4th_coef,26.98821854630881,2.8072908624204545e-07
apq11Shimmer,26.98643666839721,2.8097684476980234e-07
tqwt_TKEO_std_dec_9,26.961624929937713,2.844496909732094e-07
tqwt_entropy_shannon_dec_18,26.922544985355483,2.9000737599963164e-07
tqwt_entropy_log_dec_33,26.743349096895248,3.1692330871256455e-07
mean_Log_energy,26.564792763820286,3.462428875531443e-07
tqwt_entropy_log_dec_23,26.434329169810884,3.693769111175121e-07
tqwt_stdValue_dec_35,26.337498732567372,3.8754669998491815e-07
gender,26.267234190564974,4.012919284411672e-07
det_LT_entropy_log_3_coef,26.14624193646607,4.2611969245642243e-07
app_TKEO_std_1_coef,25.15733831899783,6.96557959625034e-07
GNE_mean,24.965547842922913,7.663382972411674e-07
tqwt_TKEO_mean_dec_10,24.960665144907516,7.682037585818135e-07
std_MFCC_9th_coef,24.71999569044148,8.66045699606886e-07
tqwt_maxValue_dec_6,24.522551158676045,9.55613093586809e-07
tqwt_minValue_dec_6,23.727276300226933,1.4213304858107653e-06
tqwt_stdValue_dec_23,23.501086476537115,1.591508707781392e-06
tqwt_TKEO_mean_dec_7,23.471786825569154,1.615003804183803e-06
tqwt_entropy_log_dec_20,23.446263366266848,1.6357550936882978e-06
tqwt_TKEO_mean_dec_13,23.411000868820338,1.664866649106424e-06
tqwt_energy_dec_27,23.183769997979493,1.8653837422497272e-06
tqwt_medianValue_dec_36,22.994275603620768,2.051076738953402e-06
IMF_SNR_entropy,22.84188444858058,2.2138281883324956e-06
rapJitter,22.804196445413996,2.2560448331799754e-06
ddpJitter,22.792825258111733,2.2689408093941847e-06
GQ_std_cycle_open,22.18409628165832,3.079445775341323e-06
VFER_NSR_SEO,22.11121351472988,3.1942745550510915e-06
app_LT_entropy_log_4_coef,21.981231131232615,3.4098708257252327e-06
tqwt_TKEO_std_dec_8,21.855050823699866,3.6331688461333925e-06
tqwt_TKEO_std_dec_7,21.854043012764162,3.6350103610954074e-06
tqwt_kurtosisValue_dec_17,21.767541124195795,3.796623008250474e-06
tqwt_kurtosisValue_dec_16,21.374065413488307,4.628081809306957e-06
std_MFCC_12th_coef,21.02398899076351,5.520971111593712e-06
std_2nd_delta,20.918384298093898,5.822979862336114e-06
std_MFCC_5th_coef,20.862635594407937,5.989063774762626e-06
tqwt_entropy_log_dec_19,20.839133469851298,6.0605018564916025e-06
det_LT_entropy_log_4_coef,20.808710670236643,6.154252146319045e-06
tqwt_TKEO_mean_dec_8,20.75064457954021,6.3372605394944805e-06
tqwt_kurtosisValue_dec_29,20.597245194619788,6.847537365807955e-06
app_det_TKEO_mean_1_coef,20.32100318424523,7.873115243859163e-06
std_delta_delta_0th,20.06696000836526,8.952430232094117e-06
det_LT_entropy_log_5_coef,19.526043968619238,1.1773678632979368e-05
mean_MFCC_0th_coef,19.411237612984124,1.2479403630036941e-05
tqwt_entropy_shannon_dec_6,19.379009188420707,1.2685069505829885e-05
tqwt_TKEO_mean_dec_23,19.346356981875545,1.2896922677496764e-05
tqwt_stdValue_dec_33,19.073431080464363,1.4813107064446102e-05
tqwt_entropy_shannon_dec_19,18.96335032058825,1.5664935023813148e-05
app_LT_TKEO_mean_1_coef,18.925094473992022,1.5972384822085658e-05
tqwt_TKEO_mean_dec_34,18.825327973920633,1.6803089922044415e-05
tqwt_energy_dec_8,18.68255166757984,1.8068248080894627e-05
tqwt_energy_dec_21,18.55968786876493,1.923357835230427e-05
VFER_SNR_TKEO,18.422979069583633,2.0619509990053894e-05
tqwt_energy_dec_7,18.381165584529036,2.106318811806267e-05
std_2nd_delta_delta,17.922035544150543,2.6616367177398638e-05
tqwt_kurtosisValue_dec_19,17.781085544015745,2.86012497519994e-05
tqwt_energy_dec_10,17.39345897867987,3.4864392530613127e-05
tqwt_energy_dec_25,17.31927187035461,3.621236701192616e-05
tqwt_entropy_log_dec_4,17.244077380596362,3.7632298265903195e-05
std_MFCC_0th_coef,17.15640230537584,3.9358978110236344e-05
tqwt_energy_dec_9,16.763670145787767,4.812904201978639e-05
app_LT_entropy_log_3_coef,16.620955168723807,5.1783518758839144e-05
tqwt_entropy_log_dec_36,16.510114305370955,5.48139504867222e-05
tqwt_TKEO_mean_dec_35,16.482028288922667,5.5609844770248805e-05
det_LT_entropy_log_2_coef,16.305130845089728,6.0897813009105835e-05
app_LT_entropy_log_1_coef,16.26406210330434,6.219636477127413e-05
locDbShimmer,16.120000935236536,6.697639168158333e-05
tqwt_stdValue_dec_5,16.116388276724845,6.710091211269813e-05
std_0th_delta,15.953941932647265,7.294832962917517e-05
tqwt_maxValue_dec_1,15.908992706513072,7.465533975667377e-05
mean_MFCC_5th_coef,15.875372094544844,7.595843343500382e-05
tqwt_stdValue_dec_27,15.847075892400273,7.707293422542407e-05
det_LT_entropy_log_6_coef,15.773000789117207,8.006931512200233e-05
tqwt_stdValue_dec_18,15.649528191793458,8.532754583880245e-05
app_LT_entropy_log_2_coef,15.260835265504275,0.00010426885528873632
tqwt_maxValue_dec_5,15.237586514701102,0.00010552793979544593
tqwt_energy_dec_6,15.179630501289873,0.00010873391261283421
det_LT_entropy_log_1_coef,14.810687820780077,0.00013158148879901613
tqwt_minValue_dec_34,14.661107100466348,0.00014217422393215498
tqwt_minValue_dec_33,14.562032646867467,0.0001496605562774442
tqwt_entropy_shannon_dec_20,14.526385267733517,0.00015245053063366975
tqwt_entropy_log_dec_29,14.397836855932864,0.00016295517431508293
IMF_SNR_SEO,14.306181015685777,0.00017088897072059262
locShimmer,14.085967062824524,0.00019158420282080335
GQ_std_cycle_closed,13.986653370889822,0.00020172916208488706
tqwt_energy_dec_28,13.915058515731879,0.00020937789098326006
tqwt_minValue_dec_5,13.90435433959183,0.00021054637945490252
tqwt_energy_dec_35,13.838896208729935,0.00021783670722530916
mean_delta_log_energy,13.633151173269045,0.00024245575028970662
GNE_SNR_TKEO,13.588212124631383,0.0002481970263035178
mean_MFCC_9th_coef,13.368899403380729,0.0002782512990851414
GQ_prc5_95,13.288143544667024,0.0002902230445448165
tqwt_meanValue_dec_7,13.188729887798917,0.00030567878536144144
tqwt_maxValue_dec_34,13.11258369004228,0.00031807812415145736
tqwt_maxValue_dec_27,13.080499664448823,0.0003234537514461703
tqwt_maxValue_dec_17,12.918859102062099,0.00035196734697966154
tqwt_kurtosisValue_dec_23,12.715601777888498,0.0003914626346959422
tqwt_minValue_dec_27,12.678273132808126,0.0003991895230162788
tqwt_energy_dec_33,12.631599066098639,0.00040906842245495346
tqwt_minValue_dec_17,12.541523454235406,0.00042883873064712106
std_1st_delta,12.4482734850176,0.0004503256962565202
tqwt_energy_dec_34,12.285533454396218,0.0004904700735815392
tqwt_entropy_log_dec_3,12.22539875717984,0.0005062046359852524
tqwt_stdValue_dec_26,12.2037609258036,0.0005119905006408737
tqwt_maxValue_dec_33,12.104587677512207,0.0005393779729456158
tqwt_stdValue_dec_28,12.059932711073643,0.0005521897049498401
tqwt_TKEO_std_dec_34,11.653824184258351,0.000683828966007385
tqwt_TKEO_mean_dec_6,11.464365570599485,0.000755714386845113
apq5Shimmer,11.365760830373809,0.0007961114890100938
meanAutoCorrHarmonicity,11.33207701753069,0.0008104073355658427
tqwt_minValue_dec_1,11.297016288690845,0.0008255641052790952
tqwt_entropy_shannon_dec_36,11.295239130368879,0.0008263399797247622
tqwt_meanValue_dec_5,11.232657156738021,0.0008541387204201119
GNE_NSR_SEO,11.191274509978816,0.0008730397729791339
tqwt_maxValue_dec_28,11.019413819550534,0.0009561845662184761
std_1st_delta_delta,10.902941498976059,0.001017057796584671
tqwt_entropy_log_dec_22,10.868822846914135,0.001035623499814205
tqwt_kurtosisValue_dec_22,10.823187581574404,0.0010609947272309463
tqwt_medianValue_dec_10,10.777635936201486,0.0010869485431051226
tqwt_maxValue_dec_23,10.758009474150263,0.0010983287409478202
tqwt_stdValue_dec_36,10.576398955981785,0.0012095438480818487
tqwt_kurtosisValue_dec_33,10.554030330480135,0.0012240106653427145
tqwt_minValue_dec_26,10.484131346454415,0.0012703596139506806
tqwt_minValue_dec_35,10.385691958335883,0.001338672426101941
tqwt_minValue_dec_28,10.238567937946558,0.0014477924860927583
IMF_NSR_SEO,10.231490139444398,0.0014532641655085297
IMF_NSR_TKEO,10.065924163321307,0.0015874304856200237
tqwt_kurtosisValue_dec_21,10.030546841054662,0.001617693245631868
tqwt_minValue_dec_23,9.964822756060968,0.0016754808692874363
tqwt_maxValue_dec_26,9.898910780445894,0.0017355417309598727
tqwt_TKEO_std_dec_6,9.812185186575414,0.0018179172335137008
tqwt_maxValue_dec_2,9.766727709187625,0.0018626712281357277
mean_MFCC_7th_coef,9.539226003460614,0.00210407558387994
mean_0th_delta,9.524294619695995,0.0021209906458652854
det_entropy_log_3_coef,9.244033519797275,0.0024654702116219747
tqwt_stdValue_dec_19,9.241860820967128,0.0024683522940463316
tqwt_maxValue_dec_35,9.20528028055733,0.0025173946004266303
meanNoiseToHarmHarmonicity,9.147365612232942,0.0025970761100168197
tqwt_minValue_dec_2,9.089361245593858,0.0026794564052675727
tqwt_entropy_shannon_dec_5,8.9133859738288,0.002946044544052614
det_LT_entropy_log_7_coef,8.846837448910986,0.003053768843972877
tqwt_stdValue_dec_32,8.787349708938223,0.0031534590196574297
tqwt_entropy_log_dec_25,8.59656916921576,0.0034961281251031174
std_MFCC_1st_coef,8.563058962640529,0.0035601290550187677
tqwt_TKEO_mean_dec_17,8.459502775457137,0.0037655660641173878
tqwt_entropy_log_dec_2,8.291147093785492,0.004125721070421203
ddaShimmer,8.272109392494052,0.004168601706508256
apq3Shimmer,8.271323563648306,0.004170381457586213
tqwt_energy_dec_32,8.147134071953841,0.0044616266761391
tqwt_kurtosisValue_dec_15,8.078950031234795,0.004630280268330473
tqwt_energy_dec_5,7.972267713929316,0.004907333064031988
tqwt_TKEO_mean_dec_27,7.899693461598335,0.005105438175709975
std_MFCC_3rd_coef,7.8262323786180366,0.005314297745993478
tqwt_TKEO_std_dec_27,7.716918136874019,0.005641392036328528
tqwt_energy_dec_22,7.534151529370631,0.006235002533261098
tqwt_energy_dec_17,7.523269748817572,0.006272300296938865
